"%s Item(s)","%s Ürün(ler)"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Mağazası. Tüm Hakları Saklıdır."
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Tıklayarak veya sürükleyiniz"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Yükseltmek için saatin herhangi bir yerine tıklayınız."
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim için fareyi yukarıdaki butonlardan herhangi birinin üzerinde tutun"
"- Use the %s buttons to select month","Ay seçmek için %s butonlarını kullanınız."
"- Use the %s, %s buttons to select year","Yıl seçmek için %s, %s butonunu kullanınız."
"- or Shift-click to decrease it","- veya azaltmak için Shift+ tıklayınız"
"- or click and drag for faster selection.","- veya hızlı seçim için tıkla ve sürükle"
"-- Please Select --","-- Lütfen Seçiniz --"
"1 column","1 kolon"
"2 columns with left bar","Sol sütunlu 2 kolon"
"2 columns with right bar","Sağ sütunlu 2 kolon"
"3 columns","3 kolon"
"About the calendar","Takvim hakkında"
"All Empty Layout Pages","Tüm Boş Düzen Sayfaları"
"All One-Column Layout Pages","Tüm Tek Kolon Yapısal Sayfalar"
"All Pages","Tüm Sayfalar"
"All Pages (Print Version)","Tüm sayfalar (Yazıcı Sürümü)"
"All Three-Column Layout Pages","Tüm Üç Kolon Yapısal Sayfaları"
"All Two-Column Layout Pages (Left Column)","Tüm İki Kolon Yapısal Sayfaları (Menü Solda)"
"All Two-Column Layout Pages (Right Column)","Tüm İki Kolon Yapısal Sayfaları (Menü Sağda)"
"Allow","İzin Ver"
"Breadcrumbs","Yol Bağlantıları"
"Click <a href=""%s"">here</a> if nothing has happened","Hiç bir şey olmadıysa <a href=""%s"">buraya tıklayınız</a>"
"Close","Kapat"
"Close Window","Pencereyi Kapat"
"DHTML Date/Time Selector","DHTML Tarih/Saat seçici"
"Date selection:","Tarih Seçimi:"
"Default Description","Varsayılan Meta Açıklama (Description)"
"Default welcome msg!","Hoşgeldiniz!"
"Display %s first","Önce %s Göster"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL Lisansıyla dağıtılmaktadır. Detaylar için %s."
"Drag to move","Taşımak için sürükleyiniz"
"Empty","Boş"
"For latest version visit: %s","Son sürümü için: %s"
"Free Shipping on orders over 50$","50$ üzerindeki siparişlerde Kargo Ücretsiz"
"Go Today","Bugüne Git"
"Help Us to Keep Magento Healthy","Magento 'nun sağlıklı çalışması için bize yardımcı olunuz."
"Interface Language","Arayüz Dili"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"JavaScript seems to be disabled in your browser.","Tarayıcınızda, Javascript Özelliği kapatılmış olarak görünmektedir."
"Left Column","Sol Kolon"
"Main Content Area","Ana İçerik Bölgesi"
"Navigation Bar","Gezinme Barı"
"Next","Sonraki"
"Next month (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Next year (hold for menu)","Sonraki yıl (menü için basılı tutunuz)"
"Page Bottom","Sayfa Altı"
"Page Footer","Sayfa Altı"
"Page Header","Sayfa Başı"
"Page Top","Sayfa Başı"
"Page:","Sayfa:"
"Prev. month (hold for menu)","Önceki Ay (menü için basılı tutunuz)"
"Prev. year (hold for menu)","Önceki Yıl (menü için basılı tutunuz)"
"Previous","Önceki"
"Redirecting...","Yönlendiriliyor..."
"Report All Bugs","Tüm Hataları Raporla"
"Right Column","Sağ Kolon"
"Select Store","Mağaza Seçiniz"
"Select Store:","Mağaza Seçiniz:"
"Select date","Tarih seçiniz"
"Show","Göster"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Bu bir demo mağazasıdır. Verilen siparişler test olarak kabul edilir ve işlem görmez."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Bu web sitesinin tüm özellikleri ile çalışabilmesi için web çerezlerine ihtiyacı var. Bu çerezlerin içinde tutulan verilerle ilgili detaylı bilgi almak için <a href=""%s"">Gizlilik Koşulları</a> sayfamıza göz atabilirsiniz. Bu siteden gelen çerezlere izin vermek için aşağıdaki izin ver butonuna basınız."
"Time selection:","Zaman seçimi:"
"Time:","Zaman:"
"Welcome, %s!","Hoşgeldiniz, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Sitenin bütün özelliklerini kullanabilmek için Web Tarayıcı Yazılımınızın JavaScript özelliğinin açık olması gerekmektedir."
"Your Language","Kullandığınız Dil"
"Your Language:","Seçilen Dil:"
"per page","sayfa başı"
